-----------------------------------------------------------------------------------------------------------------------------

Elevation report for the  watershed     1/1/0001 5:48:01 PM     4/8/2021 12:00:00 AM

-----------------------------------------------------------------------------------------------------------------------------


Statistics:: All elevations reported in meters
-----------

  Min.    Elevation: 1247
  Max.    Elevation: 3007
  Mean.   Elevation: 1547.28933906696
  Std.    Deviation: 243.740436231368

                    Elevation          % Area Below Elevation         % Area Watershed

                    2046                     96.77                     .03
                    2047                     96.78                     .01
                    2048                     96.8                      .02
                    2049                     96.84                     .04
                    2050                     96.86                     .02
                    2051                     96.89                     .03
                    2052                     96.92                     .04
                    2053                     96.95                     .03
                    2054                     96.97                     .02
                    2055                     97                        .03
                    2056                     97.03                     .03
                    2057                     97.07                     .03
                    2058                     97.08                     .01
                    2059                     97.11                     .03
                    2060                     97.13                     .02
                    2061                     97.15                     .02
                    2062                     97.19                     .03
                    2063                     97.21                     .02
                    2064                     97.25                     .04
                    2065                     97.27                     .02
                    2066                     97.3                      .03
                    2067                     97.33                     .03
                    2068                     97.36                     .04
                    2069                     97.39                     .03
                    2070                     97.42                     .03
                    2071                     97.47                     .04
                    2072                     97.5                      .03
                    2073                     97.52                     .02
                    2074                     97.55                     .03
                    2075                     97.59                     .04
                    2076                     97.62                     .03
                    2077                     97.65                     .03
                    2078                     97.68                     .03
                    2079                     97.71                     .03
                    2080                     97.74                     .03
                    2081                     97.76                     .02
                    2082                     97.78                     .03
                    2083                     97.81                     .03
                    2084                     97.84                     .03
                    2085                     97.88                     .04
                    2086                     97.91                     .03
                    2087                     97.94                     .03
                    2088                     97.97                     .03
                    2089                     98                        .03
                    2090                     98.03                     .03
                    2091                     98.06                     .03
                    2092                     98.09                     .03
                    2093                     98.12                     .03
                    2094                     98.14                     .02
                    2095                     98.17                     .03
                    2096                     98.21                     .04
                    2097                     98.23                     .03
                    2098                     98.26                     .03
                    2099                     98.3                      .04
                    2100                     98.33                     .03
                    2101                     98.36                     .03
                    2102                     98.39                     .02
                    2103                     98.42                     .03
                    2104                     98.46                     .04
                    2105                     98.49                     .03
                    2106                     98.52                     .03
                    2107                     98.55                     .03
                    2108                     98.57                     .02
                    2109                     98.59                     .02
                    2110                     98.61                     .02
                    2111                     98.63                     .02
                    2112                     98.63                     .01
                    2113                     98.65                     .02
                    2114                     98.67                     .02
                    2115                     98.7                      .03
                    2116                     98.71                     .01
                    2117                     98.73                     .02
                    2118                     98.74                     .01
                    2119                     98.76                     .02
                    2120                     98.77                     .02
                    2121                     98.79                     .02
                    2122                     98.81                     .02
                    2123                     98.83                     .02
                    2124                     98.84                     .02
                    2125                     98.85                     .01
                    2126                     98.87                     .02
                    2127                     98.89                     .02
                    2128                     98.91                     .02
                    2129                     98.92                     .01
                    2130                     98.93                     0
                    2131                     98.94                     .02
                    2132                     98.96                     .02
                    2133                     98.97                     .01
                    2134                     98.98                     .01
                    2135                     98.99                     .01
                    2136                     99.02                     .03
                    2137                     99.03                     .01
                    2138                     99.05                     .02
                    2139                     99.06                     .01
                    2140                     99.07                     .02
                    2141                     99.08                     0
                    2142                     99.09                     .01
                    2143                     99.09                     0
                    2144                     99.11                     .02
                    2145                     99.12                     .02
                    2146                     99.14                     .02
                    2147                     99.14                     0
                    2148                     99.16                     .02
                    2149                     99.16                     .01
                    2150                     99.18                     .02
                    2151                     99.19                     .01
                    2152                     99.21                     .02
                    2153                     99.22                     .01
                    2154                     99.23                     .01
                    2155                     99.24                     .01
                    2156                     99.24                     0
                    2157                     99.25                     0
                    2158                     99.25                     0
                    2159                     99.26                     .01
                    2160                     99.28                     .01
                    2161                     99.3                      .02
                    2162                     99.3                      0
                    2163                     99.32                     .02
                    2164                     99.33                     .01
                    2165                     99.34                     0
                    2166                     99.34                     .01
                    2167                     99.35                     .01
                    2168                     99.36                     .01
                    2169                     99.37                     0
                    2170                     99.38                     .01
                    2171                     99.39                     .02
                    2172                     99.4                      .01
                    2173                     99.41                     .01
                    2174                     99.43                     .02
                    2175                     99.44                     .01
                    2176                     99.45                     .01
                    2177                     99.47                     .01
                    2178                     99.47                     0
                    2179                     99.48                     .01
                    2180                     99.5                      .02
                    2181                     99.51                     .01
                    2182                     99.52                     .01
                    2183                     99.53                     .01
                    2184                     99.53                     0
                    2185                     99.54                     .01
                    2186                     99.55                     .01
                    2187                     99.55                     .01
                    2188                     99.56                     .01
                    2189                     99.57                     .01
                    2190                     99.58                     .01
                    2191                     99.58                     0
                    2192                     99.59                     .01
                    2193                     99.6                      .01
                    2194                     99.61                     .01
                    2195                     99.62                     0
                    2196                     99.63                     .01
                    2197                     99.63                     0
                    2198                     99.63                     0
                    2199                     99.64                     .01
                    2200                     99.65                     .01
                    2201                     99.66                     .01
                    2202                     99.66                     0
                    2203                     99.67                     .01
                    2204                     99.68                     .01
                    2205                     99.68                     .01
                    2206                     99.69                     0
                    2207                     99.69                     0
                    2208                     99.7                      .01
                    2209                     99.71                     .01
                    2210                     99.71                     0
                    2212                     99.73                     .01
                    2213                     99.73                     0
                    2215                     99.74                     .01
                    2216                     99.74                     0
                    2217                     99.74                     0
                    2218                     99.75                     .01
                    2219                     99.76                     .01
                    2220                     99.78                     .01
                    2221                     99.78                     0
                    2224                     99.79                     .01
                    2226                     99.8                      .01
                    2227                     99.8                      .01
                    2228                     99.81                     0
                    2231                     99.81                     0
                    2233                     99.82                     0
                    2234                     99.82                     0
                    2235                     99.82                     0
                    2236                     99.83                     .01
                    2237                     99.83                     0
                    2239                     99.83                     0
                    2240                     99.84                     0
                    2241                     99.84                     0
                    2242                     99.85                     .01
                    2243                     99.85                     0
                    2244                     99.86                     .01
                    2245                     99.87                     0
                    2246                     99.87                     0
                    2247                     99.87                     0
                    2249                     99.88                     .01
                    2250                     99.88                     0
                    2251                     99.89                     0
                    2252                     99.89                     0
                    2253                     99.9                      .01
                    2255                     99.9                      0
                    2256                     99.9                      0
                    2257                     99.91                     0
                    2259                     99.92                     .01
                    2261                     99.92                     0
                    2262                     99.92                     0
                    2263                     99.93                     .01
                    2264                     99.93                     0
                    2265                     99.93                     0
                    2266                     99.94                     0
                    2267                     99.94                     0
                    2268                     99.94                     0
                    2269                     99.94                     0
                    2270                     99.94                     0
                    2271                     99.95                     0
                    2272                     99.95                     .01
                    2273                     99.96                     0
                    2274                     99.96                     0
                    2275                     99.96                     0
                    2278                     99.97                     0
                    2281                     99.97                     0
                    2282                     99.97                     .01
                    2283                     99.98                     0
                    2284                     99.98                     0
                    2285                     99.98                     0
                    2287                     99.98                     0
                    2288                     99.99                     0
                    2290                     99.99                     0
                    2291                     99.99                     0
                    2292                     100                       0
                    2295                     100                       0
-----------------------------------------------------------------------------------------------------------------------------

Subbasin # 24

Statistics: All elevations reported in meters
-----------

  Min.    Elevation: 1415
  Max.    Elevation: 1795
  Mean.   Elevation: 1590.3144428809
  Std.    Deviation: 120.719952564648

                    Elevation          % Area Below Elevation         % Area Subbasin

                    1415                     .04                      .04
                    1416                     .12                      .08
                    1417                     .18                      .06
                    1418                     .41                      .23
                    1419                     1.34                      .93
                    1420                     2.44                      1.1
                    1421                     3.48                      1.04
                    1422                     4.93                      1.45
                    1423                     6.31                      1.38
                    1424                     8.01                      1.7
                    1425                     9.62                      1.61
                    1426                     11.1                      1.48
                    1427                     12.2                      1.1
                    1428                     13.07                     .87
                    1429                     13.84                     .77
                    1430                     14.46                     .61
                    1431                     14.87                     .41
                    1432                     15.33                     .46
                    1433                     16.14                     .82
                    1434                     16.68                     .54
                    1435                     17.13                     .45
                    1436                     17.85                     .72
                    1437                     18.26                     .41
                    1438                     18.78                     .52
                    1439                     19.39                     .61
                    1440                     20.03                     .64
                    1441                     20.6                      .56
                    1442                     21.24                     .64
                    1443                     21.76                     .52
                    1444                     22.41                     .65
                    1445                     22.98                     .56
                    1446                     23.4                      .42
                    1447                     23.99                     .59
                    1448                     24.36                     .37
                    1449                     24.72                     .36
                    1450                     25.18                     .46
                    1451                     25.62                     .45
                    1452                     25.96                     .33
                    1453                     26.35                     .4
                    1454                     26.72                     .37
                    1455                     27.16                     .43
                    1456                     27.53                     .37
                    1457                     27.73                     .2
                    1458                     27.94                     .2
                    1459                     28.09                     .15
                    1460                     28.25                     .15
                    1461                     28.41                     .17
                    1462                     28.53                     .12
                    1463                     28.72                     .19
                    1464                     28.83                     .12
                    1465                     28.91                     .08
                    1466                     28.98                     .06
                    1467                     29.09                     .12
                    1468                     29.14                     .05
                    1469                     29.26                     .12
                    1470                     29.35                     .09
                    1471                     29.4                      .05
                    1472                     29.45                     .05
                    1473                     29.51                     .06
                    1474                     29.6                      .09
                    1475                     29.7                      .1
                    1476                     29.81                     .1
                    1477                     29.93                     .13
                    1478                     30.05                     .12
                    1479                     30.14                     .09
                    1480                     30.27                     .13
                    1481                     30.36                     .09
                    1482                     30.38                     .03
                    1483                     30.46                     .08
                    1484                     30.51                     .05
                    1485                     30.65                     .14
                    1486                     30.8                      .15
                    1487                     30.88                     .08
                    1488                     31                        .12
                    1489                     31.14                     .14
                    1490                     31.24                     .1
                    1491                     31.29                     .05
                    1492                     31.41                     .12
                    1493                     31.53                     .13
                    1494                     31.64                     .1
                    1495                     31.75                     .12
                    1496                     31.83                     .08
                    1497                     32.05                     .22
                    1498                     32.19                     .14
                    1499                     32.28                     .09
                    1500                     32.42                     .14
                    1501                     32.58                     .17
                    1502                     32.75                     .17
                    1503                     32.94                     .19
                    1504                     33.08                     .14
                    1505                     33.25                     .17
                    1506                     33.4                      .15
                    1507                     33.62                     .22
                    1508                     33.73                     .12
                    1509                     33.86                     .13
                    1510                     34.04                     .18
                    1511                     34.19                     .15
                    1512                     34.36                     .17
                    1513                     34.49                     .13
                    1514                     34.63                     .14
                    1515                     34.83                     .2
                    1516                     34.98                     .14
                    1517                     35.01                     .04
                    1518                     35.15                     .14
                    1519                     35.32                     .17
                    1520                     35.54                     .22
                    1521                     35.76                     .22
                    1522                     35.92                     .17
                    1523                     36.06                     .14
                    1524                     36.22                     .15
                    1525                     36.46                     .24
                    1526                     36.55                     .09
                    1527                     36.7                      .15
                    1528                     36.8                      .1
                    1529                     36.95                     .14
                    1530                     37.12                     .18
                    1531                     37.23                     .1
                    1532                     37.37                     .14
                    1533                     37.53                     .17
                    1534                     37.66                     .13
                    1535                     37.78                     .12
                    1536                     37.9                      .13
                    1537                     38.07                     .17
                    1538                     38.16                     .09
                    1539                     38.24                     .08
                    1540                     38.31                     .08
                    1541                     38.42                     .1
                    1542                     38.6                      .18
                    1543                     38.71                     .12
                    1544                     38.77                     .06
                    1545                     38.9                      .13
                    1546                     39                        .1
                    1547                     39.08                     .08
                    1548                     39.35                     .27
                    1549                     39.52                     .17
                    1550                     39.7                      .18
                    1551                     39.8                      .1
                    1552                     39.93                     .13
                    1553                     40.02                     .09
                    1554                     40.16                     .14
                    1555                     40.3                      .14
                    1556                     40.4                      .1
                    1557                     40.5                      .1
                    1558                     40.68                     .18
                    1559                     40.81                     .13
                    1560                     40.9                      .09
                    1561                     40.97                     .08
                    1562                     41.14                     .17
                    1563                     41.35                     .2
                    1564                     41.55                     .2
                    1565                     41.68                     .13
                    1566                     41.7                      .03
                    1567                     41.81                     .1
                    1568                     42.04                     .23
                    1569                     42.25                     .22
                    1570                     42.47                     .22
                    1571                     42.57                     .1
                    1572                     42.71                     .14
                    1573                     42.79                     .08
                    1574                     42.86                     .06
                    1575                     43.01                     .15
                    1576                     43.15                     .14
                    1577                     43.28                     .13
                    1578                     43.42                     .14
                    1579                     43.56                     .14
                    1580                     43.8                      .24
                    1581                     43.99                     .19
                    1582                     44.15                     .15
                    1583                     44.35                     .2
                    1584                     44.54                     .19
                    1585                     44.67                     .13
                    1586                     44.83                     .15
                    1587                     45                        .18
                    1588                     45.09                     .09
                    1589                     45.3                      .2
                    1590                     45.49                     .19
                    1591                     45.64                     .15
                    1592                     45.85                     .2
                    1593                     45.95                     .1
                    1594                     46.09                     .14
                    1595                     46.31                     .22
                    1596                     46.46                     .15
                    1597                     46.62                     .15
                    1598                     46.76                     .14
                    1599                     46.91                     .15
                    1600                     47.04                     .13
                    1601                     47.15                     .12
                    1602                     47.36                     .2
                    1603                     47.52                     .17
                    1604                     47.79                     .27
                    1605                     47.91                     .12
                    1606                     48.07                     .17
                    1607                     48.28                     .2
                    1608                     48.47                     .19
                    1609                     48.68                     .2
                    1610                     49                        .32
                    1611                     49.15                     .15
                    1612                     49.28                     .13
                    1613                     49.49                     .22
                    1614                     49.71                     .22
                    1615                     49.94                     .23
                    1616                     50.13                     .19
                    1617                     50.43                     .29
                    1618                     50.57                     .14
                    1619                     50.77                     .2
                    1620                     50.9                      .13
                    1621                     51.18                     .28
                    1622                     51.29                     .1
                    1623                     51.46                     .18
                    1624                     51.66                     .19
                    1625                     51.76                     .1
                    1626                     51.93                     .17
                    1627                     52.09                     .17
                    1628                     52.3                      .2
                    1629                     52.49                     .19
                    1630                     52.67                     .18
                    1631                     52.91                     .24
                    1632                     53.05                     .14
                    1633                     53.29                     .24
                    1634                     53.49                     .19
                    1635                     53.64                     .15
                    1636                     53.84                     .2
                    1637                     54.06                     .22
                    1638                     54.3                      .24
                    1639                     54.61                     .31
                    1640                     54.92                     .31
                    1641                     55.11                     .19
                    1642                     55.4                      .29
                    1643                     55.61                     .2
                    1644                     55.8                      .19
                    1645                     56.08                     .28
                    1646                     56.39                     .31
                    1647                     56.58                     .19
                    1648                     56.76                     .18
                    1649                     57.02                     .26
                    1650                     57.2                      .18
                    1651                     57.35                     .15
                    1652                     57.59                     .24
                    1653                     57.86                     .27
                    1654                     58.04                     .18
                    1655                     58.24                     .2
                    1656                     58.45                     .2
                    1657                     58.79                     .35
                    1658                     58.97                     .18
                    1659                     59.18                     .2
                    1660                     59.56                     .38
                    1661                     59.75                     .19
                    1662                     59.97                     .22
                    1663                     60.15                     .18
                    1664                     60.34                     .19
                    1665                     60.59                     .24
                    1666                     60.87                     .28
                    1667                     61.11                     .24
                    1668                     61.33                     .22
                    1669                     61.53                     .2
                    1670                     61.76                     .23
                    1671                     62.11                     .35
                    1672                     62.45                     .35
                    1673                     62.89                     .43
                    1674                     63.46                     .58
                    1675                     64.05                     .59
                    1676                     64.5                      .45
                    1677                     65.02                     .52
                    1678                     65.52                     .5
                    1679                     66.02                     .5
                    1680                     66.61                     .59
                    1681                     67.23                     .61
                    1682                     67.83                     .6
                    1683                     68.33                     .5
                    1684                     68.94                     .61
                    1685                     69.55                     .61
                    1686                     70.14                     .59
                    1687                     70.68                     .54
                    1688                     71.24                     .56
                    1689                     71.75                     .51
                    1690                     72.33                     .58
                    1691                     72.91                     .58
                    1692                     73.35                     .45
                    1693                     73.89                     .54
                    1694                     74.5                      .61
                    1695                     75.2                      .69
                    1696                     75.75                     .55
                    1697                     76.27                     .52
                    1698                     76.65                     .38
                    1699                     77.13                     .47
                    1700                     77.36                     .23
                    1701                     77.72                     .36
                    1702                     78.12                     .41
                    1703                     78.56                     .43
                    1704                     78.89                     .33
                    1705                     79.3                      .41
                    1706                     79.69                     .38
                    1707                     79.94                     .26
                    1708                     80.29                     .35
                    1709                     80.79                     .5
                    1710                     81.11                     .32
                    1711                     81.48                     .37
                    1712                     81.78                     .31
                    1713                     82.09                     .31
                    1714                     82.47                     .38
                    1715                     82.87                     .4
                    1716                     83.22                     .35
                    1717                     83.52                     .31
                    1718                     83.86                     .33
                    1719                     84.3                      .45
                    1720                     84.6                      .29
                    1721                     85.06                     .46
                    1722                     85.45                     .4
                    1723                     85.85                     .4
                    1724                     86.29                     .43
                    1725                     86.94                     .65
                    1726                     87.48                     .54
                    1727                     87.87                     .4
                    1728                     88.49                     .61
                    1729                     88.82                     .33
                    1730                     89.29                     .47
                    1731                     89.63                     .33
                    1732                     89.75                     .13
                    1733                     89.93                     .18
                    1734                     90.21                     .28
                    1735                     90.46                     .24
                    1736                     90.58                     .13
                    1737                     90.78                     .19
                    1738                     90.98                     .2
                    1739                     91.22                     .24
                    1740                     91.47                     .24
                    1741                     91.68                     .22
                    1742                     91.88                     .19
                    1743                     92.15                     .27
                    1744                     92.29                     .14
                    1745                     92.5                      .22
                    1746                     92.76                     .26
                    1747                     92.95                     .19
                    1748                     93.1                      .15
                    1749                     93.32                     .22
                    1750                     93.44                     .12
                    1751                     93.68                     .24
                    1752                     93.82                     .14
                    1753                     94.06                     .24
                    1754                     94.29                     .23
                    1755                     94.47                     .18
                    1756                     94.67                     .19
                    1757                     94.86                     .19
                    1758                     95                        .14
                    1759                     95.22                     .22
                    1760                     95.46                     .24
                    1761                     95.59                     .13
                    1762                     95.78                     .19
                    1763                     95.96                     .18
                    1764                     96.2                      .24
                    1765                     96.41                     .2
                    1766                     96.56                     .15
                    1767                     96.71                     .15
                    1768                     96.92                     .2
                    1769                     97.11                     .19
                    1770                     97.4                      .29
                    1771                     97.59                     .19
                    1772                     97.74                     .14
                    1773                     97.9                      .17
                    1774                     98.03                     .13
