 FLOW_OUT_46
observed          L95PPU         U95PPU         Best_Sim       M95PPU
1.535300        0.117725        7.733952        0.252500        1.080367       
2.903900        0.129443        7.177750        0.162400        0.945503       
26.533899       3.820125        11.749970       13.460000       8.565230       
15.000000       0.275070        7.796540        5.227000        3.715032       
10.000000       0.151889        6.284823        2.073000        2.259514       
4.000000        0.097472        5.431503        1.009000        1.555293       
0.000000        0.070205        4.620587        0.467400        1.158589       
0.038400        0.070857        4.430156        0.224900        0.969462       
2.470000        0.182549        4.398944        0.193300        1.438600       
11.472900       0.288573        4.145600        1.064000        1.608529       
10.834500       0.507481        3.676340        1.562000        1.673061       
13.458700       0.680276        3.717513        1.784000        1.938371       
19.697800       0.833196        6.946235        2.343000        3.613507       
24.650700       1.814188        24.659706       15.270000       16.583748      
30.235500       3.459000        14.152909       16.680000       10.011155      
3.196700        0.293244        8.634738        6.366000        3.937230       
0.000000        0.148485        6.317053        2.283000        2.295275       
0.000000        0.091441        5.183735        1.073000        1.541344       
0.000000        0.065497        4.639366        0.489700        1.132962       
0.000000        0.139098        4.033238        0.236100        1.347409       
0.000000        0.339327        3.920708        0.883800        2.196958       
0.000000        0.684560        3.804771        2.414000        2.496238       
0.000000        0.398452        3.519308        2.386000        1.981985       
0.000000        1.283135        5.531216        2.028000        3.005556       
0.000000        2.343212        31.259310       14.450000       18.041359      
35.024700       4.849444        36.484875       31.080000       28.089262      
29.771700       5.432042        25.316219       30.020000       18.651983      
18.636600       0.569926        16.253584       10.920000       7.451547       
10.000000       0.298080        11.356099       3.232000        4.181570       
3.000000        0.256227        9.544106        1.474000        2.740194       
2.000000        0.137550        7.713613        0.810600        1.912836       
0.000000        0.174243        6.629725        0.439300        1.476935       
0.000000        0.284069        6.057126        0.303200        2.208428       
0.000000        0.736065        7.038007        3.209000        4.539200       

p-factor= 0.51
r-factor= 0.93
R2= 0.64
Nash_Sutclif= 0.61


