no_pars=  42
no_Sims=  200
Type_of_Obj_fn=  multiple
Sim_No.    r__CN2.mgt  v__ESCO.hru  v__HRU_SLP.hru  v__OV_N.hru  v__SLSUBBSN.hru  v__ALPHA_BF.gw  v__CH_N2.rte  v__CH_K2.rte  a__GWQMN.gw  a__GW_REVAP.gw  v__REVAPMN.gw  v__GW_DELAY.gw  v__GWQMN.gw  v__GW_REVAP.gw  v__ALPHA_BNK.rte  r__AUTO_EFF{[],11,AUTO_NSTRS=0.6}.mgt  r__CN2.mgt________1  r__SOL_AWC(1).sol________1  r__SOL_K(1).sol________1  r__SOL_BD(1).sol________1  a__GWQMN.gw________1  a__GW_REVAP.gw________1  v__REVAPMN.gw________1  a__ESCO.hru________1  r__HRU_SLP.hru________1  r__OV_N.hru________1  r__SLSUBBSN.hru________1  a__GWQMN.gw________3-6  a__GW_REVAP.gw________3-6  v__REVAPMN.gw________3-6  a__ESCO.hru________3-6  r__HRU_SLP.hru________3-6  r__OV_N.hru________3-6  r__SLSUBBSN.hru________3-6  r__CN2.mgt________7,12,15,16-20  a__GWQMN.gw________7,12,15,16-20  a__GW_REVAP.gw________7,12,15,16-20  v__REVAPMN.gw________7,12,15,16-20  a__ESCO.hru________7,12,15,16-20  r__HRU_SLP.hru________7,12,15,16-20  r__OV_N.hru________7,12,15,16-20  r__SLSUBBSN.hru________7,12,15,16-20 multi_goal_value
21     -0.1453   0.0575   0.0239   0.1480  93.7637   0.1775   0.1598  33.5750 415.0250   0.1222 265.2500  55.3725   1.5367  -0.0881   0.1295   0.2200  -0.1452  -0.0635  -0.7613  -0.1911   4.4905  -0.0377  10.4237  -0.0014   0.1645  -0.1657   0.1113  10.3596  -0.0323   6.5367   0.0476   0.2255  -0.1042   0.1105   0.1850  -5.4480   0.0112  13.8625  -0.0821   0.0267  -0.0936   0.0415  -7.091782
22     -0.0424   0.1275   0.0145   0.1393  93.4037   0.3175   0.1357  46.3250 147.9750   0.1112 346.2500  16.9525   1.6812   0.0207   0.2179   0.2672  -0.0298   0.0425  -1.0178   0.1257  10.9515  -0.0203   9.0487   0.1194   0.1352  -0.1168   0.0363  20.3314  -0.0569   2.5003   0.0108   0.2855  -0.1077   0.0165   0.1010   0.1200   0.0076   8.2825  -0.0379   0.0454  -0.0434   0.1615  -3.951216
23      0.0112   0.5725   0.0367   0.1211  91.3112   0.1525   0.1409  41.9750 598.7750   0.1972 392.7500  52.5475   1.1118   0.0275   0.2439   0.3511  -0.0597  -0.0465  -0.3158  -0.0415  -1.1895  -0.0345  10.3137   0.1284   0.1183  -0.1797   0.0789  16.0285  -0.0389   7.1922   0.1492   0.1265  -0.1161   0.0205   0.3770   3.7680   0.0032  10.2175   0.0349   0.0388  -0.0621   0.0145  -5.115897
24     -0.0529   0.3675   0.0267   0.1787  91.1537   0.5725   0.2921  25.9250 282.7250   0.1023 436.2500 -42.9375   0.9843   0.0479   0.3141   0.1878   0.0993   0.0535  -0.2528   0.1367   9.9575  -0.0223   6.3538   0.0721   0.1105  -0.1303   0.0819  15.8236  -0.0651   8.8827   0.0292   0.1225  -0.1597   0.1845   0.4450   0.3120   0.0157   8.0125  -0.0859   0.0855   0.0301   0.1605  -6.529045
25      0.0416   0.0375   0.0085   0.1744  93.4938   0.9175   0.2281  27.2750 245.9750   0.1797 440.7500  35.0325   1.1968  -0.0788  -0.1097   0.2246  -0.1227  -0.0945  -1.1078  -0.2923   2.7865  -0.0569   9.7362  -0.0059   0.1170  -0.1392   0.0069  18.8288  -0.0375   8.5722   0.0388   0.1695  -0.1087   0.0085   0.4570   2.0400   0.0145  12.0175   0.0559   0.0008  -0.0531   0.1035  -5.582798
26     -0.1274   0.4675   0.0339   0.1639  93.6963   0.1625   0.0947  44.8250 383.1750   0.1647 224.7500 -18.0775   0.6102  -0.0142  -0.1201   0.3787   0.0077   0.0415  -0.5318  -0.2417  -2.4675  -0.0479   8.2787   0.0519   0.0416  -0.1217   0.0561  15.2088  -0.0301   3.3628   0.1348   0.2385  -0.1230   0.1375   0.3610   2.8080   0.0127  12.9625   0.0446   0.0949  -0.0149   0.1845  -5.048417
27     -0.0277   0.1775   0.0201   0.1529  93.5837   0.9425   0.1903  44.3750 162.6750   0.1968 454.2500  28.8175   1.8257   0.0164   0.0593   0.2522   0.1098  -0.0655  -0.7433  -0.0151   6.4075  -0.0419   8.1687   0.0939   0.1632  -0.1332   0.0513  11.9305  -0.0649   8.5033   0.1580   0.1455  -0.1908   0.1815   0.2450 -12.9360   0.0190  14.5825  -0.0686   0.0118  -0.0966   0.1965  -7.165257
28     -0.0256   0.5425   0.0309   0.1346  93.6738   0.6975   0.1892  45.2750 307.2250   0.1737 442.2500 -12.4275   0.5082  -0.0125  -0.0603   0.3270   0.0978   0.0395  -0.4013   0.1169   9.5315  -0.0283   7.7562   0.1224   0.0488  -0.1322   0.0399   9.6082  -0.0589   3.6042   0.0700   0.2475  -0.1389   0.0155   0.3630  -1.8000   0.0191  10.9825   0.0071   0.0344  -0.0471   0.0065  -8.605518
29     -0.0497  -0.1725   0.0157   0.1706  92.2562   0.5275   0.1430  30.4250 201.8750   0.1807 304.2500  36.7275   0.4742  -0.0856  -0.0863   0.3074   0.0003  -0.0725  -0.9503   0.0641   8.8215  -0.0495   9.3787   0.0691   0.1697  -0.1857   0.0597   8.5154  -0.0543   4.7083   0.1268   0.2265  -0.1696   0.1495   0.2110  -9.0000   0.0178   7.2925  -0.0086   0.0905  -0.0186   0.1725  -3.132282
30     -0.1001   0.0825   0.0371   0.1274  92.7738   0.3525   0.2491  37.0250 525.2750   0.1643 296.7500   9.6075   1.0352  -0.0184  -0.0473   0.3615  -0.0943   0.0935  -1.0853  -0.2043   3.2835  -0.0205   7.4262   0.0624   0.1242  -0.1107   0.0627  18.6922  -0.0397   7.6753   0.1028   0.1045  -0.1552   0.0595   0.3310   0.9840   0.0170  15.4825   0.0574   0.0696   0.0136   0.0915  -4.395656
31     -0.0172  -0.1525   0.0115   0.1534  93.5387   0.7025   0.2984  33.1250 128.3750   0.1082 200.7500  54.8075   1.6048  -0.0958   0.1191   0.2407  -0.1318   0.0805  -0.3293  -0.2571  11.1645  -0.0305   9.7638   0.0279   0.0592  -0.1493   0.1155  19.2386  -0.0665   2.7762   0.0356   0.1505  -0.1092   0.0495   0.2330 -10.6320   0.0203  15.8425   0.0454   0.0602  -0.0741   0.0045  -5.218485
32      0.0301  -0.0475   0.0187   0.1664  91.4238   0.3425   0.1378  41.0750 441.9750   0.1332 301.2500 -11.8625   1.7237   0.0003  -0.1149   0.3994  -0.1303   0.0905  -0.2752  -0.2725   6.8335  -0.0277   6.9587   0.0736   0.1580  -0.1637   0.0585  17.5993  -0.0377   5.3292   0.0820   0.1495  -0.1418   0.0315   0.1290   2.1360   0.0070   7.5625  -0.0026   0.0542  -0.0389   0.1105  -6.035814
33     -0.0046   0.6925   0.0181   0.1306  92.0537   0.9575   0.1693  44.9750 272.9250   0.1462 359.7500  15.2575   1.4262  -0.0592  -0.1461   0.2120  -0.0178   0.0525  -0.9772  -0.1669   8.0405  -0.0227  10.2312   0.0339   0.0897  -0.1503   0.0633   7.8324  -0.0675   8.7793   0.1156   0.2845  -0.1260   0.1395   0.4830   1.1760   0.0116  14.7175  -0.0169   0.1075  -0.0839   0.0055  -5.515908
34     -0.0770   0.2475   0.0207   0.1301  91.6712   0.6425   0.2837  25.0250 336.6250   0.1293 488.7500   5.6525   1.6302   0.0062  -0.1331   0.3810  -0.0132   0.0175  -0.3787   0.0729   0.4435  -0.0339   9.4613   0.0249   0.1073  -0.1028   0.0525  14.8674  -0.0537   6.3298   0.0572   0.2595  -0.1973   0.1055   0.4930   3.3840   0.0290  15.0775  -0.0656   0.0971  -0.0314   0.0585  -7.121888
35     -0.0319   0.1675   0.0301   0.1388  90.5912   0.9275   0.1252  38.2250 312.1250   0.1992 353.7500  -2.2575   1.7663   0.0079   0.0099   0.3937   0.1053   0.0885  -0.6083  -0.1647   4.9165  -0.0213   5.9688   0.0654   0.1079  -0.1743   0.0153  16.7115  -0.0427   3.8458   0.0484   0.2415  -0.1572   0.1575   0.2030 -11.2080   0.0014   7.4725  -0.0431   0.0052  -0.0981   0.0405  -12.655509
36     -0.0455   0.1325   0.0067   0.1733  92.9313   0.6875   0.1955  25.4750 370.9250   0.1657 478.2500  15.8225   0.5847  -0.0014   0.1217   0.3983   0.1082  -0.0845  -0.8963  -0.0899  -0.4795  -0.0565  10.2863   0.0774   0.0663  -0.1877   0.0375  20.7411  -0.0353   7.1578   0.1548   0.2225  -0.1166   0.1135   0.3570 -10.9200   0.0103   8.9125  -0.0829   0.0861   0.0444   0.0085  -3.552089
37     -0.1127   0.1025   0.0245   0.1252  92.2337   0.6025   0.2995  31.6250 586.5250   0.1898 374.7500  21.4725   1.1033  -0.0949   0.0229   0.2419   0.0243  -0.0495  -0.4552   0.1125  -2.7515  -0.0321  10.7537   0.0901   0.0865  -0.1363   0.0777  12.5451  -0.0573   8.2618   0.0668   0.2035  -0.1567   0.1755   0.3730   2.6160   0.0205  10.8925  -0.0206   0.0894  -0.0059   0.0225  -15.502562
38     -0.0508   0.2825   0.0143   0.1621  90.8613   0.6225   0.2659  49.3250 219.0250   0.1943 275.7500 -13.5575   1.1797  -0.1119   0.0073   0.2534  -0.1123   0.0155  -0.7928  -0.1493  10.2415  -0.0415   5.9963   0.0234   0.1469  -0.1737   0.1065  20.5363  -0.0517   5.3637   0.0804   0.1715  -0.1661   0.1785   0.4210  -6.3120   0.0098  13.5025  -0.0769   0.0069   0.0144   0.1125  -18.005026
39     -0.0413  -0.0525   0.0023   0.1628  93.6062   0.9875   0.1000  35.9750 255.7750   0.1733 451.2500  10.7375   0.7803  -0.0779   0.1633   0.2062   0.1203   0.0865  -0.9908   0.0465   0.8695  -0.0375   7.0413   0.0031   0.0702  -0.1647   0.0045  16.3017  -0.0657   4.0528   0.1252   0.1825  -0.1280   0.0635   0.4950  -7.7520   0.0287  10.4875  -0.0214   0.1042  -0.0569   0.0765  -3.334064
40     -0.1379   0.3425   0.0381   0.1502  90.3213   0.7725   0.2386  29.5250 192.0750   0.1447 206.7500 -20.9025   1.5707   0.0045   0.1035   0.2614  -0.0688   0.0495  -0.9053  -0.2769  -0.1245  -0.0517   6.3812   0.0661   0.1404  -0.1252   0.0849  18.9654  -0.0471   2.3967   0.0724   0.2765  -0.1220   0.0045   0.1350   3.8640   0.0107   7.1125  -0.0319   0.0712   0.0196   0.1045  -3.400086
41     -0.0214   0.0225   0.0277   0.1201  92.1888   0.5175   0.1231  27.4250 493.4250   0.1902 343.2500 -44.0675   0.5677  -0.1196  -0.0421   0.2798  -0.0988   0.0915  -1.0132  -0.1075   8.4665  -0.0387   9.6812   0.0429   0.0722  -0.1243   0.1179  15.2772  -0.0687   7.7442   0.1332   0.2235  -0.1933   0.1585   0.1730   3.5760   0.0079  11.6575  -0.0311   0.1015   0.0324   0.1025  -9.071112
42     -0.0098  -0.1925   0.0083   0.1675  93.8313   0.4725   0.1945  23.0750 339.0750   0.1408 230.7500 -28.2475   0.5932  -0.0099   0.0775   0.2821  -0.1528   0.0245  -0.5677  -0.0107   2.2895  -0.0579   8.7463   0.1344   0.1229  -0.1388   0.0093  21.0144  -0.0453   2.7418   0.0556   0.2585  -0.1067   0.1015   0.4670  -6.4080   0.0125  15.5275   0.0011   0.0162   0.0354   0.1375  -2.200254
43     -0.0728  -0.2725   0.0095   0.1429  90.9737   0.8125   0.2732  43.3250 165.1250   0.1503 466.2500  60.4575   1.6643  -0.0703   0.1399   0.1706   0.1262  -0.0675  -0.4417   0.0443  -2.9645  -0.0443   6.4637   0.0856   0.0631  -0.1758   0.0549   8.7887  -0.0601   3.0522   0.1292   0.1865  -0.1899   0.1735   0.1310 -12.1680   0.0010   7.1575  -0.0304   0.0327   0.0211   0.0195  -5.791393
44     -0.0014  -0.1675   0.0305   0.1606  91.2663   0.3275   0.2869  28.6250 123.4750   0.1402 485.7500  35.5975   1.7407  -0.0329   0.0047   0.2545   0.0542   0.0335  -0.6532  -0.1009   6.9755  -0.0555   9.6537   0.1276   0.1541  -0.1222   0.0321   9.5400  -0.0313   2.1897   0.0324   0.1905  -0.1592   0.0255   0.3170  -6.6960   0.0016  13.9975   0.0131   0.0443   0.0001   0.1295  -14.921161
