no_pars=  42
no_Sims=  200
Type_of_Obj_fn=  multiple
Sim_No.    r__CN2.mgt  v__ESCO.hru  v__HRU_SLP.hru  v__OV_N.hru  v__SLSUBBSN.hru  v__ALPHA_BF.gw  v__CH_N2.rte  v__CH_K2.rte  a__GWQMN.gw  a__GW_REVAP.gw  v__REVAPMN.gw  v__GW_DELAY.gw  v__GWQMN.gw  v__GW_REVAP.gw  v__ALPHA_BNK.rte  r__AUTO_EFF{[],11,AUTO_NSTRS=0.6}.mgt  r__CN2.mgt________1  r__SOL_AWC(1).sol________1  r__SOL_K(1).sol________1  r__SOL_BD(1).sol________1  a__GWQMN.gw________1  a__GW_REVAP.gw________1  v__REVAPMN.gw________1  a__ESCO.hru________1  r__HRU_SLP.hru________1  r__OV_N.hru________1  r__SLSUBBSN.hru________1  a__GWQMN.gw________3-6  a__GW_REVAP.gw________3-6  v__REVAPMN.gw________3-6  a__ESCO.hru________3-6  r__HRU_SLP.hru________3-6  r__OV_N.hru________3-6  r__SLSUBBSN.hru________3-6  r__CN2.mgt________7,12,15,16-20  a__GWQMN.gw________7,12,15,16-20  a__GW_REVAP.gw________7,12,15,16-20  v__REVAPMN.gw________7,12,15,16-20  a__ESCO.hru________7,12,15,16-20  r__HRU_SLP.hru________7,12,15,16-20  r__OV_N.hru________7,12,15,16-20  r__SLSUBBSN.hru________7,12,15,16-20 multi_goal_value
102    -0.0949   0.5775   0.0265   0.1646  90.2087   0.8275   0.1094  48.4250 576.7250   0.1723 319.2500  48.0275   0.7548  -0.0830  -0.0811   0.3178  -0.0538  -0.0695  -0.3517   0.0663   3.9935  -0.0465  10.9187   0.0549   0.1131  -0.1488   0.0159  12.2719  -0.0315   6.6058   0.0684   0.1775  -0.1047   0.1595   0.1630  -5.9280   0.0235  15.9775   0.0251   0.0239  -0.0396   0.0805  -4.894367
103    -0.1180   0.5375   0.0163   0.1793  92.0762   0.8225   0.1063  21.7250 196.9750   0.1053 214.2500  53.1125   0.8907  -0.0609   0.1997   0.1821   0.0512  -0.0255  -0.6848  -0.1449   7.4015  -0.0389  10.6712   0.1051   0.1118  -0.1443   0.0135  19.3752  -0.0659   6.8818   0.1068   0.1315  -0.1458   0.0385   0.1670   0.6000   0.0182  11.1175  -0.0371   0.0058  -0.0366   0.1355  -5.379122
104    -0.0371   0.6875   0.0057   0.1525  93.7412   0.5675   0.2050  21.1250 309.6750   0.1203 335.7500  33.9025   0.9078   0.0411  -0.0681   0.2108  -0.1678   0.0185  -0.2797   0.0575  10.4545  -0.0447   8.6362   0.1321   0.0813  -0.1688   0.0759   9.3350  -0.0619   4.2252   0.1436   0.1035  -0.1963   0.0935   0.2070 -10.0560   0.0143  12.3325   0.0289   0.0586   0.0114   0.1425  -4.083746
105    -0.1421  -0.2075   0.0063   0.1397  93.2913   0.9475   0.1798  24.1250 395.4250   0.1688 340.2500  42.9425   0.7122   0.0360  -0.0109   0.1855  -0.1647   0.0215  -0.5543  -0.2791  -2.6095  -0.0487  11.3038   0.1074   0.1092  -0.1908   0.0489  11.9987  -0.0405   8.7102   0.1452   0.1625  -0.1201   0.1145   0.1150   2.4240   0.0187   8.7325   0.0124   0.0113  -0.0449   0.0445  -3.288508
106    -0.0896   0.1875   0.0061   0.1231  93.9887   0.5525   0.2459  41.5250 535.0750   0.1063 446.7500  57.6325   0.6357  -0.0473   0.0723   0.2833   0.1293  -0.0175  -1.0718   0.0751   4.5615  -0.0319   8.7738   0.0969   0.0618  -0.1867   0.0957  21.1509  -0.0435   8.4342   0.0124   0.2495  -0.1107   0.0695   0.1610  -0.1680   0.0265  13.5475  -0.0056   0.0580  -0.0441   0.0925  -9.773554
107    -0.0581  -0.0425   0.0345   0.1370  90.7487   0.3225   0.2774  25.3250 547.3250   0.1173 362.7500  -5.0825   1.8173  -0.0040  -0.0707   0.1740   0.1128   0.0615  -0.3742  -0.0393   1.3665  -0.0397   7.6462   0.0609   0.1294  -0.1157   0.0327  19.9216  -0.0395   2.6037   0.1124   0.2945  -0.1656   0.1235   0.3870  -9.6720   0.0100   7.7425  -0.0889   0.0421   0.0384   0.1455  -5.017838
108     0.0427   0.3025   0.0129   0.1217  90.6363   0.5825   0.1966  24.7250 167.5750   0.1177 295.2500  45.2025   0.4827  -0.0643  -0.1019   0.2844   0.0137  -0.0475  -0.7567  -0.0085   0.0175  -0.0549   9.1312   0.0781   0.0975  -0.1963   0.0825   8.7204  -0.0425   2.3623   0.0364   0.1665  -0.1349   0.0105   0.3430   0.5040   0.0082   9.6325   0.0296   0.1070   0.0009   0.0015  -5.496961
109    -0.0350   0.5025   0.0015   0.1453  90.5013   0.2725   0.2008  20.9750 189.6250   0.1268 269.7500 -45.1975   0.3553  -0.0550  -0.0187   0.2591  -0.0642  -0.0555  -0.6982   0.0839   8.1115  -0.0477   7.1788   0.1396   0.0442  -0.1377   0.1101  10.7694  -0.0677   7.9858   0.1076   0.2055  -0.1156   0.0485   0.1790  -9.4800   0.0065   9.6775   0.0521   0.0663  -0.0179   0.1505  -6.486923
110    -0.1400   0.4375   0.0021   0.1435  89.6462   0.9325   0.0916  20.2250 432.1750   0.1117 407.7500 -49.7175   0.4403   0.0317  -0.1253   0.1729  -0.0162  -0.0625  -0.9323   0.1103   7.7565  -0.0571  11.2762  -0.0021   0.0741  -0.1848   0.0201  15.0723  -0.0531   2.2933   0.1100   0.1025  -0.1824   0.0955   0.2470  -5.6400   0.0176  11.7475   0.0514   0.0019   0.0189   0.0235  -9.820830
111     0.0479  -0.0225   0.0355   0.1637  90.1188   0.1275   0.2711  43.9250 566.9250   0.1392 242.7500  61.0225   1.8852  -0.0992  -0.0889   0.3224  -0.0313   0.0345  -0.4733  -0.1977   1.2955  -0.0511   7.6188   0.0406   0.0793  -0.1863   0.1197  13.7063  -0.0445   4.9152   0.0260   0.2705  -0.1730   0.0975   0.4310  -5.8320   0.0194  10.9375  -0.0701   0.0674   0.0474   0.0815  -4.748201
112    -0.1264   0.0775   0.0119   0.1456  92.2787   0.0925   0.2218  46.4750 505.6750   0.1168 358.2500 -25.4225   0.9588   0.0088  -0.0629   0.3799   0.0723   0.0625  -0.6578  -0.1603   1.8635  -0.0595   9.8462   0.0616   0.1508  -0.1082   0.0885  11.2474  -0.0463   5.4672   0.1564   0.2535  -0.1913   0.1155   0.4470  -2.8560   0.0278   8.3275  -0.0844   0.0734   0.0421   0.0345  -4.157121
113     0.0038   0.5075   0.0075   0.1444  92.3688   0.2975   0.0926  38.8250 593.8750   0.1813 251.7500 -29.9425   1.7322  -0.1017   0.1763   0.3155  -0.1573   0.0675  -0.8917  -0.2197   4.2065  -0.0483  10.0662   0.0571   0.1443  -0.1128   0.0291  11.7255  -0.0671   2.5347   0.0068   0.2835  -0.1384   0.0555   0.4070 -11.9760   0.0020   7.2025  -0.0866   0.0877   0.0369   0.1665  -6.263344
114    -0.1358   0.4725   0.0387   0.1297  90.8838   0.4125   0.2438  36.1250 437.0750   0.1953 347.7500 -27.6825   1.2563   0.0113   0.2231   0.3017  -0.0207  -0.0145  -0.4507  -0.2505   8.1825  -0.0497  11.0012   0.0384   0.1547  -0.1663   0.0207   8.4472  -0.0409   7.1233   0.0012   0.2315  -0.1819   0.1625   0.1990  -9.9600   0.0184  15.2125  -0.0694   0.0954  -0.0809   0.1995  -4.526076
115     0.0269   0.5475   0.0365   0.1520  92.5263   0.7075   0.2501  32.5250 290.0750   0.1622 391.2500  18.0825   0.9758  -0.0405   0.1971   0.3281   0.0617  -0.0235  -0.7883   0.0377   3.4255  -0.0361  10.5887   0.0871   0.0585  -0.1468   0.0687   7.7642  -0.0695   7.9167   0.0116   0.1135  -0.1641   0.0845   0.4530  -2.7600   0.0088  13.8175  -0.0394   0.0102  -0.0036   0.1515  -3.331383
116    -0.1390   0.0175   0.0215   0.1382  89.8938   0.8725   0.2974  22.3250 194.5250   0.1908 481.2500 -43.5025   0.3128  -0.0065   0.1139   0.2258   0.0948  -0.0885  -0.2122   0.1147   9.3895  -0.0373   6.5462  -0.0006   0.1157  -0.1472   0.1035  17.3262  -0.0309   3.9838   0.1428   0.2245  -0.1012   0.1295   0.2410  -6.2160   0.0268   7.7875  -0.0671   0.0272   0.0151   0.0275  -3.505188
117     0.0175  -0.1275   0.0395   0.1630  92.9538   0.8325   0.2890  46.6250 121.0250   0.1433 331.2500 -24.8575   1.7068   0.0266   0.3661   0.3534   0.0857   0.0705  -0.4238  -0.2703   8.3245  -0.0207   9.1587   0.0714   0.1690  -0.1277   0.0735  18.7605  -0.0611   2.0517   0.0876   0.2505  -0.1998   0.0095   0.4090  -9.3840   0.0163  12.1975   0.0431   0.0393  -0.0914   0.1445  -4.987711
118    -0.1243   0.5525   0.0303   0.1715  92.3463   0.2525   0.2722  47.0750 483.6250   0.1982 433.2500 -35.5925   1.3498   0.0181  -0.0837   0.2787  -0.1002  -0.0815  -0.9548  -0.2329   9.6735  -0.0453  11.0837  -0.0029   0.1489  -0.1653   0.0555  10.0181  -0.0625   3.7768   0.0140   0.2545  -0.1295   0.1345   0.4250  -1.5120   0.0064  11.2525  -0.0154   0.0036  -0.0824   0.1535  -3.974120
119    -0.0623   0.2275   0.0047   0.1592  93.8988   0.4325   0.1504  47.5250 373.3750   0.1778 475.2500  57.0675   1.2988   0.0037   0.3349   0.2867   0.0648  -0.0515  -0.8827  -0.1779  -1.8995  -0.0489   9.9837   0.1359   0.0689  -0.1112   0.0969  15.5504  -0.0571   3.1212   0.1340   0.1605  -0.1329   0.1265   0.4270  -6.8880   0.0238   7.8325   0.0491   0.0366  -0.0126   0.0705  -5.786959
120    -0.1474   0.4875   0.0333   0.1684  89.8037   0.5075   0.2155  20.5250 459.1250   0.1772 416.7500  37.8575   1.6983  -0.0626   0.1087   0.3592  -0.0882  -0.0455  -0.5903   0.0113  -1.7575  -0.0407   7.3438   0.0084   0.0728  -0.1982   0.1119  13.6379  -0.0421   2.9142   0.0468   0.2105  -0.1522   0.0195   0.1050 -13.1280   0.0169  15.6625  -0.0784   0.0575  -0.0486   0.0395  -5.089367
121    -0.1285   0.4475   0.0091   0.1375  91.8737   0.7475   0.1672  42.2750 466.4750   0.1852 422.7500   7.9125   1.1712  -0.0133   0.2335   0.3649   0.0707  -0.0085  -0.9952  -0.2351   2.2185  -0.0215   7.7838   0.1059   0.0910  -0.1513   0.0081  20.1947  -0.0391   6.1572   0.0932   0.1845  -0.1874   0.0445   0.1490  -0.7440   0.0077  14.5375   0.0086   0.0773  -0.0554   0.1675  -4.274622
122     0.0563   0.3525   0.0373   0.1579  90.0287   0.8375   0.2113  26.2250 527.7250   0.1318 445.2500 -25.9875   1.8767  -0.0524   0.1737   0.3258  -0.0103   0.0285  -0.7387   0.0773   0.2305  -0.0405   8.8837   0.0646   0.0475  -0.1632   0.0309  10.9742  -0.0699   8.1582   0.1556   0.1965  -0.1300   0.1045   0.2190  -7.8480   0.0259   8.5075   0.0536   0.0492   0.0204   0.0215  -4.889454
123     0.0595   0.4525   0.0331   0.1775  90.6813   0.4075   0.1010  40.9250 569.3750   0.1303 227.7500  62.1525   0.9672  -0.0601   0.0879   0.2131  -0.0448   0.0325  -0.2167   0.1191   2.1475  -0.0591   7.2613   0.0639   0.0449  -0.1813   0.0057  11.5890  -0.0559   6.3987   0.0084   0.2775  -0.1102   0.1125   0.4770  -3.8160   0.0113  15.7075   0.0056   0.0245  -0.0381   0.1495  -5.471782
124    -0.1306   0.3875   0.0003   0.1766  93.8538   0.2175   0.1315  35.5250 145.5250   0.1472 259.2500  40.6825   1.0182  -0.0541   0.3011   0.2361  -0.0237   0.0735  -0.7837  -0.2439   9.8155  -0.0255   8.9113   0.1374   0.0923  -0.1002   0.0003  12.6818  -0.0551   3.2248   0.1364   0.2395  -0.1646   0.0565   0.4590  -3.6240   0.0074  15.3475   0.0101   0.1086   0.0489   0.0965  -4.653329
125    -0.0161   0.6675   0.0019   0.1283  91.9187   0.5425   0.2144  24.5750 321.9250   0.1548 281.7500 -14.6875   0.6018  -0.0652   0.3557   0.1809  -0.1408  -0.0095  -0.5092   0.0421  -0.2665  -0.0559   8.9388   0.0489   0.0520  -0.1482   0.0465  18.6238  -0.0501   4.6737   0.1572   0.1355  -0.1507   0.1945   0.4190 -13.8960   0.0274   9.9475   0.0304   0.0311  -0.0816   0.0695  -7.105442
126    -0.0151  -0.1175   0.0195   0.1558  91.1087   0.9225   0.1546  37.1750 368.4750   0.1322 370.2500 -31.6375   1.0608   0.0232   0.3453   0.2430  -0.0043   0.0945  -0.2257  -0.0657   9.2475  -0.0467  10.5062   0.0586   0.0917  -0.1497   0.0801   8.3788  -0.0593   2.5693   0.0644   0.2185  -0.1339   0.1425   0.3330 -12.3600   0.0130  15.1675  -0.0776   0.1053  -0.0539   0.1315  -6.246121
127    -0.0518   0.6575   0.0043   0.1484  91.4688   0.5325   0.2932  49.7750 451.7750   0.1563 352.2500 -31.0725   1.9277  -0.0507   0.2621   0.3546  -0.0223  -0.0955  -1.0267  -0.1955  10.5255  -0.0241   6.2162   0.0039   0.1138  -0.1213   0.0813  11.1791  -0.0631   4.4323   0.1404   0.1175  -0.1725   0.1705   0.1390 -14.6640   0.0085  10.7575   0.0236   0.0558   0.0219   0.1265  -4.217054
128    -0.0340   0.3775   0.0363   0.1402  93.9212   0.8575   0.1766  37.6250 515.4750   0.1032 263.7500  61.5875   0.3212  -0.0575   0.0359   0.2039  -0.0927   0.0405  -1.0673  -0.0855  -1.5445  -0.0553   8.8287  -0.0081   0.1222  -0.1928   0.0243  18.1458  -0.0579   6.2607   0.0172   0.2305  -0.1611   0.0755   0.2530  -9.2880   0.0154   8.5975  -0.0296   0.0795  -0.0974   0.1345  -11.509772
129    -0.1316  -0.2775   0.0375   0.1460  91.5813   0.5925   0.2554  48.5750 361.1250   0.1597 248.7500 -41.2425   1.7832  -0.0210  -0.0395   0.3166   0.0468  -0.0665  -0.4058  -0.0305   0.7985  -0.0327   8.4163   0.0054   0.0787  -0.1918   0.1143  19.7167  -0.0605   3.8112   0.0524   0.1445  -0.1493   0.1515   0.4150  -0.6480   0.0158  12.9175  -0.0716   0.0382  -0.0644   0.0365  -6.466660
130    -0.0298   0.5675   0.0175   0.1679  93.0437   0.9825   0.2795  46.1750 250.8750   0.1632 245.7500  27.6875   0.5422  -0.0686   0.1451   0.2683   0.0377  -0.0215  -0.7072  -0.1691   9.6025  -0.0471   9.6263   0.1006   0.0605  -0.1192   0.0891  16.9846  -0.0469   5.8812   0.0964   0.2655  -0.1582   0.1605   0.4730  -5.1600   0.0241   8.6875  -0.0221   0.0679  -0.0674   0.0895  -4.188086
131    -0.1327   0.6725   0.0399   0.1735  89.7138   0.0675   0.2522  33.8750 571.8250   0.1133 385.2500 -40.1125   1.4603  -0.0635   0.3427   0.3948  -0.0417   0.0555  -0.7028  -0.0745  -2.8225  -0.0201  11.0562   0.0106   0.1255  -0.1597   0.0033  14.0478  -0.0615   5.1223   0.0492   0.1365  -0.1176   0.1115   0.1370   0.7920   0.0175  10.6675  -0.0004   0.0360  -0.0104   0.1735  -3.468299
132    -0.0077   0.5625   0.0281   0.1433  89.9388   0.5775   0.1514  38.9750 464.0250   0.1072 376.2500   3.9575   1.9193  -0.0303   0.1243   0.1959  -0.0868  -0.0855  -0.7253  -0.2659  -2.5385  -0.0533   9.2413   0.0984   0.0767  -0.1678   0.1029  19.8533  -0.0399   6.4678   0.0596   0.1215  -0.1666   0.1645   0.4850   3.0000   0.0221  15.5725   0.0266   0.1009   0.0361   0.1485  -3.605862
133    -0.0959  -0.0975   0.0321   0.1328  90.2988   0.0225   0.1105  45.1250 206.7750   0.1758 268.2500 -22.5975   0.3043  -0.0822  -0.0785   0.3822   0.1023   0.0355  -0.2303  -0.1735  -0.1955  -0.0359   6.8488   0.0219   0.0533  -0.1563   0.0897  17.8043  -0.0673   4.6048   0.0892   0.1065  -0.1557   0.1795   0.3130   0.0240   0.0236  11.8825  -0.0101   0.0426   0.0069   0.0555  -12.850171
134    -0.1495  -0.2025   0.0029   0.1276  90.1413   0.5225   0.2291  20.8250 358.6750   0.1928 361.2500  -9.6025   0.8568  -0.0439  -0.1305   0.3051   0.1173  -0.0395  -0.6938  -0.1251  -1.4735  -0.0599   6.2712   0.0091   0.1372  -0.1628   0.0603  15.7552  -0.0465   2.0863   0.1148   0.2635  -0.1621   0.0835   0.2510 -14.9520   0.0007  11.7025  -0.0454   0.0998   0.0234   0.0525  -6.913889
135    -0.0980   0.4175   0.0393   0.1249  91.7838   0.1875   0.2123  38.0750 211.6750   0.1423 239.7500 -39.5475   1.0013  -0.0414   0.3037   0.3350  -0.1243  -0.0005  -0.3832  -0.0261   1.1535  -0.0347  10.1487   0.0556   0.0624  -0.1478   0.0963   8.6521  -0.0681   4.8808   0.1308   0.1095  -0.1057   0.1315   0.4550 -11.5920   0.0146  12.8275   0.0191   0.0833  -0.0321   0.0105  -5.257554
136    -0.0245  -0.2425   0.0293   0.1247  91.0413   0.2675   0.2606  26.8250 424.8250   0.1507 482.7500   1.1325   1.2478  -0.0924   0.0177   0.3971  -0.1363   0.0475  -0.5272  -0.2835  -0.5505  -0.0351   6.7663   0.0976   0.1216  -0.1198   0.0705  18.2824  -0.0553   2.6383   0.0164   0.2175  -0.1463   0.0465   0.2770  -8.2320   0.0286  14.3575  -0.0619   0.0938   0.0016   0.1755  -10.613625
137     0.0584   0.5275   0.0311   0.1220  91.0638   0.7225   0.1850  29.9750 356.2250   0.1513 334.2500  23.1675   1.6217  -0.0499   0.2413   0.2304  -0.0148  -0.0265  -0.3473  -0.2109   9.0345  -0.0371  11.1937   0.0826   0.1391  -0.1447   0.0141  14.4576  -0.0333   8.0547   0.0308   0.1205  -0.1671   0.0535   0.4350  -8.0400   0.0196  14.3125   0.0049   0.0597  -0.0689   0.0715  -4.265691
138    -0.1411   0.6275   0.0343   0.1496  92.4587   0.2875   0.2680  35.8250 135.7250   0.1822 467.7500  -9.0375   1.5623   0.0436   0.0255   0.3419   0.0677   0.0815  -0.8602  -0.0349  -2.1835  -0.0237   9.1862   0.0751   0.1326  -0.1523   0.1185  16.1651  -0.0363   6.7092   0.0076   0.2095  -0.1062   0.1855   0.2950 -12.6480   0.0209  12.5575   0.0544   0.0003   0.0481   0.0865  -11.983292
139     0.0490   0.5325   0.0317   0.1576  93.5163   0.4875   0.1042  23.9750 400.3250   0.1558 460.2500  55.9375   0.5337  -0.1051   0.0697   0.1832   0.1217   0.0055  -0.2932   0.0553  10.3125  -0.0469  10.9462   0.0174   0.1307  -0.1283   0.0315  15.6187  -0.0637   5.9847   0.0884   0.2575  -0.1978   0.1885   0.3070  -2.2800   0.0296   9.3175   0.0109   0.0850   0.0264   0.1255  -5.394378
140    -0.0602   0.0725   0.0111   0.1256  91.1762   0.7175   0.1493  26.9750 363.5750   0.1258 244.2500  -1.6925   1.9533  -0.0252  -0.0915   0.2580  -0.0763  -0.0105  -0.9638  -0.1867  10.3835  -0.0409  10.8912   0.0286   0.0852  -0.1902   0.0117   9.8132  -0.0479   6.8127   0.0516   0.1975  -0.1369   0.1085   0.4910  -9.0960   0.0256  12.4225  -0.0491   0.0564  -0.0494   0.0775  -9.345268
141     0.0007   0.2025   0.0253   0.1373  90.4788   0.3825   0.2848  21.5750 258.2250   0.1978 344.7500 -34.4625   1.3242  -0.0456   0.0515   0.2925  -0.1347  -0.0335  -0.9592  -0.0019   4.9875  -0.0219   8.1412   0.0256   0.0644  -0.1748   0.0795  14.2527  -0.0481   6.9163   0.0692   0.1535  -0.1681   0.0325   0.1830 -13.8000   0.0059  13.4125  -0.0649   0.0415  -0.0659   0.0625  -5.182235
142     0.0469   0.6475   0.0319   0.1339  90.0512   0.2425   0.0968  22.0250 331.7250   0.1857 205.2500  51.4175   1.2053  -0.0074   0.2907   0.3431  -0.0553  -0.0755  -0.5857   0.1213  10.0285  -0.0473   8.0588   0.1119   0.1196  -0.1567   0.0435  16.2334  -0.0419   8.0203   0.1164   0.2145  -0.1804   0.0055   0.4230  -8.4240   0.0173  13.3675  -0.0131   0.0806  -0.0501   0.0945  -5.415941
143     0.0395  -0.1425   0.0385   0.1366  92.0088   0.6625   0.1651  31.3250 143.0750   0.1443 341.7500  31.0775   1.7153   0.0130  -0.1409   0.1970  -0.0342  -0.0685  -0.5408  -0.0679   2.5025  -0.0455   8.3337   0.1216   0.0800  -0.1458   0.0723  10.5645  -0.0617   8.8138   0.1500   0.2115  -0.1517   0.1665   0.1510  -8.9040   0.0202  12.6925  -0.0289   0.0943   0.0436   0.1475  -3.933649
144    -0.1096   0.5975   0.0275   0.1343  93.4262   0.0725   0.1577  45.8750 380.7250   0.1377 241.2500 -46.3275   0.3893  -0.0805  -0.0655   0.3603  -0.1632  -0.0325  -0.7972  -0.0789   0.3725  -0.0311   5.9138   0.0916   0.1573  -0.1622   0.0657  21.2875  -0.0583   4.1217   0.1036   0.1005  -0.1022   0.0225   0.4410  -7.6560   0.0293  12.6475   0.0326   0.0410  -0.0756   0.0205  -3.898045
145     0.0385   0.6125   0.0189   0.1771  93.6288   0.0625   0.1399  24.4250 277.8250   0.1037 397.2500 -48.5875   1.6558  -0.0261   0.1893   0.1890  -0.1063  -0.0405  -0.5362  -0.2153   8.9635  -0.0315   6.7112   0.1314   0.1671  -0.1733   0.0615  12.7501  -0.0371   8.3652   0.0732   0.1725  -0.1795   0.1355   0.1270  -7.5600   0.0260  12.7375  -0.0499   0.0707   0.0496   0.0075  -4.563927
146    -0.1337   0.0025   0.0137   0.1420  90.8163   0.1725   0.2029  39.4250 216.5750   0.1532 328.2500  -7.3425   0.5253  -0.0694   0.3193   0.1947   0.0887   0.0105  -1.0898  -0.0217  -0.7635  -0.0313   7.9763   0.1126   0.0832  -0.1452   0.0501  13.4331  -0.0347   5.8467   0.0652   0.2045  -0.1438   0.0545   0.4650  -4.0080   0.0277   7.4275   0.0461   0.0756  -0.0696   0.0615  -5.541213
147    -0.1138   0.0625   0.0055   0.1489  91.7613   0.8475   0.2858  49.1750 390.5250   0.1912 277.2500  41.2475   0.3808   0.0343   0.0853   0.2626  -0.0702   0.0125  -1.0493  -0.1515   1.4375  -0.0233   6.6287   0.1291   0.1060  -0.1828   0.0591  11.0426  -0.0411   7.0198   0.0628   0.1675  -0.1587   0.0285   0.3450  -2.0880   0.0128  10.2625  -0.0596   0.0993   0.0256   0.0025  -9.449862
148    -0.0592   0.4975   0.0151   0.1523  89.6913   0.6775   0.2879  27.8750 392.9750   0.1478 499.2500  59.8925   0.7632  -0.0720   0.0463   0.1913  -0.0808   0.0845  -0.5767  -0.1119   7.0465  -0.0551  10.4513   0.0819   0.0891  -0.1608   0.0393  20.8778  -0.0361   5.6052   0.0228   0.1935  -0.1488   0.1695   0.3290 -10.4400   0.0034  10.4425  -0.0461   0.0778  -0.0209   0.1925  -11.260670
149    -0.0707   0.2975   0.0247   0.1265  89.9163   0.0875   0.1882  41.2250 473.8250   0.1637 329.7500   0.0025   0.8227   0.0402   0.0645   0.2729   0.0168   0.0605  -0.9233  -0.0965   4.7035  -0.0509   9.5712   0.0954   0.0761  -0.1182   0.0573  16.4382  -0.0661   3.4662   0.1468   0.2805  -0.1626   0.0805   0.1210  -4.7760   0.0091   7.9225   0.0409   0.0976  -0.0239   0.1905  -4.869412
150    -0.0697   0.6375   0.0133   0.1552  93.1338   0.7275   0.1840  28.3250 263.1250   0.1702 221.7500  18.6475   1.0267   0.0385   0.2023   0.3845  -0.1287  -0.0575  -0.4913  -0.1163  -1.1185  -0.0433  11.1388   0.1171   0.0579  -0.1532   0.1053  14.3892  -0.0535   5.1912   0.0948   0.1755  -0.1141   0.0125   0.1470  -4.1040   0.0257   9.7675  -0.0334   0.0509   0.0271   0.1715  -3.333920
151    -0.1463   0.1175   0.0307   0.1319  92.4812   0.1675   0.1913  48.7250 378.2750   0.1152 217.2500  58.1975   1.5877   0.0054   0.3245   0.2016  -0.0058  -0.0205  -0.9998  -0.2901   3.9225  -0.0247   7.9212   0.1201   0.1008  -0.1382   0.0261  11.8622  -0.0643   6.2263   0.0196   0.1885  -0.1854   0.0235   0.2990 -12.0720   0.0295  13.2775  -0.0814   0.0074  -0.0254   0.0975  -6.662127
152    -0.0854   0.5825   0.0217   0.1310  93.0663   0.7975   0.2564  40.3250 522.8250   0.1787 449.7500  59.3275   0.4572  -0.0031   0.3297   0.2028  -0.1168  -0.0065  -0.7297   0.0795   5.6975  -0.0417   5.9412   0.0676   0.1209  -0.1262   0.1059  11.1109  -0.0577   6.0538   0.0052   0.2665  -0.1359   0.0515   0.4170   0.6960   0.0229   9.4975  -0.0589   0.1081  -0.0996   0.1225  -5.582009
153    -0.1484   0.6175   0.0169   0.1643  91.6263   0.9775   0.1451  27.1250 449.3250   0.1363 257.7500  43.5075   0.5167  -0.0227   0.2257   0.3638   0.0362  -0.0415  -0.7207   0.0091   7.1885  -0.0403  11.3312   0.0271   0.0462  -0.1058   0.0051  17.3945  -0.0545   2.2587   0.0348   0.1165  -0.1814   0.0775   0.2570   2.5200   0.0185  12.8725   0.0401   0.0190  -0.0119   0.0175  -4.513038
154     0.0448   0.4425   0.0287   0.1384  90.9512   0.1425   0.1861  22.1750 113.6750   0.1058 280.2500  -3.9525   1.2902   0.0224  -0.0317   0.3902  -0.1497  -0.0615  -0.9457  -0.0503   9.1765  -0.0519   6.5188   0.1096   0.0566  -0.1992   0.0237  12.1354  -0.0355   3.3972   0.1180   0.1915  -0.1196   0.1215   0.4490  -8.3280   0.0284   9.4525  -0.0349   0.1037  -0.0066   0.1075  -4.381699
155    -0.1159  -0.1975   0.0009   0.1514  90.0738   0.1025   0.1661  24.2750 125.9250   0.1768 332.7500  22.0375   1.4432   0.0173   0.2959   0.3500  -0.1152   0.0645  -0.8062  -0.1141   5.2005  -0.0235  10.5612   0.0376   0.0930  -0.1098   0.0903  10.4962  -0.0373   8.2273   0.0900   0.2375  -0.1245   0.0075   0.3750  -6.0240   0.0155  11.5675  -0.0266   0.0278  -0.0591   0.1695  -2.059677
156    -0.0109   0.2575   0.0391   0.1315  93.1787   0.8925   0.2333  39.1250 157.7750   0.1297 298.2500  58.7625   0.7717  -0.0728   0.2153   0.3293   0.1007  -0.0745  -0.8422   0.0135   6.1945  -0.0239  10.7262   0.0879   0.0962  -0.1528   0.0075  10.2913  -0.0305   7.8478   0.1220   0.1615  -0.1097   0.0265   0.3930  -9.7680   0.0142  15.3925   0.0379   0.0217   0.0039   0.0315  -5.456492
157    -0.0224  -0.0175   0.0213   0.1655  92.1663   0.6925   0.2417  42.5750 385.6250   0.1842 254.7500 -47.4575   0.8482  -0.1043   0.2283   0.3201  -0.0027   0.0015  -1.0447   0.1235  -0.0535  -0.0567   6.9037   0.0136   0.1456  -0.1238   0.0663  20.9461  -0.0621   3.8802   0.0780   0.1145  -0.1790   0.0215   0.1750   4.0560   0.0094  12.3775   0.0469   0.0173  -0.0006   0.1195  -3.306904
158    -0.1232   0.0875   0.0179   0.1259  92.3913   0.1925   0.2596  45.7250 574.2750   0.1353 427.2500  24.8625   1.0523   0.0377   0.0671   0.3247  -0.0373  -0.0305  -0.8648  -0.1757  -0.6215  -0.0577  10.0938   0.0046   0.0514  -0.1873   0.0255  13.0233  -0.0547   4.5357   0.0004   0.1835  -0.1755   0.0305   0.1930 -13.9920   0.0250  12.0625   0.0371   0.0085  -0.0764   0.0185  -9.359503
