sim_no   goal_mmse    goal_smse    goal_r2    goal_chi2    goal_ns    goal_br2    goal_ssqr    goal_pbias    goal_kge    goal_rsr    goal_mns
85     9563.538086  103.502502   0.562227   51.179527   0.503572   0.259641   37.997398   22.986420   0.486910   0.704487   0.415544
86     17733.769531  146.991486   0.391157   69.652573   0.322189   0.134954   56.353256   27.946663   0.346391   0.822639   0.274839
87     16417.244141  141.874512   0.480110   67.044067   0.347434   0.327000   19.431549   22.984207   0.606938   0.807050   0.348471
88     10558.883789  113.250443   0.560751   53.736473   0.477128   0.394167   15.258659   23.095234   0.645125   0.722575   0.401771
89     6663.587891  87.927414   0.633680   42.644020   0.585759   0.439026   14.613483   22.677734   0.664320   0.643588   0.459409
90     14491.592773  133.579117   0.505852   63.008354   0.386627   0.351017   19.061069   23.099718   0.620081   0.782353   0.360081
91     11198.526367  113.747589   0.539092   55.286362   0.463041   0.349134   20.752895   26.613659   0.602822   0.732760   0.399103
92     11672.718750  117.246353   0.523041   56.439320   0.451439   0.214914   49.881935   25.205643   0.426063   0.740516   0.348540
93     12556.419922  118.218498   0.505898   58.681755   0.430966   0.186879   55.859871   22.638054   0.394685   0.754179   0.349506
94     16009.869141  137.030334   0.429321   66.096024   0.357680   0.146588   61.221985   26.993210   0.348315   0.801342   0.280900
95     19914.130859  157.184052   0.442901   73.905075   0.280369   0.294862   20.473640   22.971437   0.584961   0.847237   0.309855
96     7476.605469  93.659225   0.612729   45.168373   0.561049   0.417795   14.886097   22.742794   0.654949   0.662443   0.455584
97     14447.355469  132.806152   0.504219   62.875816   0.388094   0.347700   18.042732   23.111908   0.619713   0.781586   0.355525
98     13580.453125  127.402237   0.513304   60.897560   0.407786   0.340917   22.479153   27.528107   0.592776   0.769246   0.368250
99     6924.392578  88.765671   0.636460   43.499001   0.577786   0.418012   21.912552   27.643368   0.612756   0.649774   0.459610
100     9837.145508  106.156273   0.549087   51.830635   0.496777   0.311292   24.399385   25.878326   0.563507   0.709382   0.413222
101     8822.815430  99.588135   0.594074   49.142342   0.523259   0.302814   35.159286   27.839020   0.504984   0.690404   0.443085
102     8598.525391  98.299072   0.588677   48.514931   0.529352   0.314285   30.285252   26.704155   0.532357   0.685975   0.431233
103     8922.934570  99.847427   0.588202   49.447998   0.520423   0.293686   36.187302   26.913403   0.501077   0.692404   0.426512
104     8156.429688  96.753677   0.595517   47.192329   0.541775   0.359871   22.041630   26.140032   0.588788   0.676922   0.442667
105     7233.161621  90.208084   0.615418   44.492516   0.568352   0.348704   23.984215   23.237396   0.577434   0.656946   0.458434
106     16717.851563  140.952393   0.416383   67.555260   0.343177   0.142450   57.214130   27.617184   0.347492   0.810198   0.292280
107     13153.040039  127.144630   0.525067   60.020081   0.415753   0.369322   17.658520   23.098991   0.630251   0.763588   0.369175
108     10447.030273  109.592621   0.540314   53.406342   0.481403   0.307917   25.264511   27.370966   0.556236   0.720133   0.406121
109     14464.110352  132.553085   0.507359   62.893745   0.388024   0.344272   22.373041   27.136597   0.594928   0.781721   0.357775
110     24177.062500  174.060287   0.407227   81.502625   0.206132   0.260214   27.081741   27.539438   0.536789   0.889600   0.283759
111     8860.226563  101.074661   0.583239   49.179214   0.522394   0.276163   39.073971   22.762703   0.497602   0.691082   0.431901
112     7253.533203  93.029312   0.629322   44.503380   0.567242   0.367396   27.844358   27.330631   0.566068   0.657599   0.473169
113     14034.668945  130.029114   0.509087   61.926998   0.397605   0.342232   22.602352   26.699768   0.597632   0.775715   0.368372
114     9486.561523  106.055710   0.584076   50.886124   0.505289   0.402709   19.319954   27.297239   0.621299   0.703166   0.418654
115     6815.068359  88.468513   0.636224   43.136703   0.581144   0.417373   20.745552   26.504013   0.620097   0.647190   0.471427
116     6586.584961  86.594696   0.647999   42.423561   0.588216   0.431308   20.719509   28.086151   0.615187   0.641699   0.471146
117     13136.966797  126.845482   0.522606   59.969093   0.416318   0.364532   17.254358   22.953327   0.629914   0.763287   0.367989
118     8442.384766  100.059723   0.605275   48.004242   0.533303   0.421382   18.731842   26.899239   0.630836   0.682965   0.434574
119     9368.558594  102.491180   0.578990   50.650658   0.508681   0.285233   37.557381   27.745514   0.491343   0.700860   0.422677
120     8380.096680  98.312225   0.604652   47.827797   0.535513   0.314528   34.965881   27.349163   0.516291   0.681524   0.452429
121     8809.174805  102.531120   0.599602   49.044296   0.523082   0.416648   19.891422   27.415112   0.624819   0.690334   0.430363
122     10502.081055  110.683662   0.556929   53.532707   0.479878   0.370681   19.185802   26.787613   0.611870   0.721136   0.404465
123     9143.394531  101.224091   0.580843   50.040810   0.514609   0.282114   38.781258   26.207481   0.492940   0.696615   0.425461
124     7875.286621  94.092812   0.614762   46.428238   0.549587   0.333184   31.132710   27.235140   0.534563   0.671069   0.453110
125     16681.378906  143.034683   0.479322   67.582748   0.342183   0.321891   22.694084   26.361069   0.586239   0.810284   0.336067
126     16441.023438  142.738708   0.480518   67.145607   0.346212   0.327397   19.293962   23.086132   0.606106   0.807574   0.338601
127     9281.707031  105.153511   0.588585   50.339836   0.510515   0.412056   18.100357   26.515549   0.631245   0.699391   0.421433
128     19826.376953  153.310226   0.361293   73.563995   0.284820   0.099492   73.628510   26.921846   0.269943   0.845455   0.241371
129     16964.253906  145.559219   0.479151   68.250557   0.335284   0.330150   20.756174   23.173996   0.604254   0.814110   0.334861
130     7602.555176  94.105148   0.616481   45.547554   0.557486   0.345637   28.593399   26.265903   0.555625   0.665171   0.469435
131     7511.340820  94.461632   0.623925   45.281765   0.559743   0.429676   18.246391   26.441187   0.633927   0.663319   0.455681
132     7724.733887  94.064331   0.614061   45.929947   0.554069   0.416164   19.025013   26.306618   0.630478   0.667781   0.444989
133     24919.667969  172.739410   0.245932   82.497757   0.197676   0.051247   83.137886   22.306017   0.184907   0.895337   0.173185
134     18215.052734  150.733276   0.465970   70.713959   0.311321   0.318926   21.513830   23.279377   0.596075   0.828687   0.325951
135     11166.310547  116.540733   0.556394   55.264748   0.462233   0.383215   20.610813   27.362888   0.612252   0.732772   0.396828
136     18541.843750  150.367233   0.385753   71.225494   0.306862   0.104330   81.516510   22.454046   0.268176   0.831871   0.249898
137     8922.471680  101.629242   0.579597   49.347267   0.520687   0.368079   20.083403   26.223427   0.606038   0.692304   0.430385
138     20899.615234  159.867584   0.335906   75.631920   0.263909   0.089612   77.766464   26.217903   0.250963   0.857199   0.219403
139     9277.401367  101.899544   0.570305   50.412064   0.511035   0.285175   35.703606   26.228188   0.506755   0.699164   0.420176
140     21992.201172  165.370850   0.427313   77.680122   0.243554   0.276516   27.299398   28.358433   0.544367   0.868581   0.296448
141     8352.768555  100.720375   0.604695   47.793865   0.534953   0.313850   35.962208   27.446663   0.512127   0.681451   0.451025
142     10594.578125  110.035950   0.529981   53.794456   0.477761   0.289061   26.097750   26.044044   0.546362   0.722660   0.400347
143     9786.131836  107.138992   0.552828   51.675797   0.497814   0.348110   16.888308   23.080933   0.618635   0.708556   0.411365
144     7403.533203  92.703041   0.617994   44.949059   0.563360   0.354272   26.181490   25.694527   0.569014   0.660758   0.460171
145     9790.003906  106.970200   0.569097   51.685699   0.497785   0.378283   19.468441   26.476563   0.616039   0.708601   0.414806
146     11283.757813  117.211960   0.556634   55.557938   0.459361   0.382751   22.020340   28.301756   0.605407   0.734709   0.394921
147     16736.832031  142.469681   0.408137   67.648605   0.341795   0.151098   49.690067   27.684860   0.376741   0.810739   0.295302
148     19587.908203  153.989441   0.360677   73.177101   0.288048   0.105159   69.850380   26.946926   0.286448   0.843224   0.251935
149     8373.351563  99.239815   0.596545   47.801300   0.535418   0.323783   31.006317   27.071758   0.537033   0.681490   0.443256
150     6930.048340  89.423271   0.634317   43.492962   0.577604   0.420984   19.949814   26.460752   0.623868   0.649910   0.465741
151     10379.102539  107.826492   0.566737   53.317051   0.482839   0.253003   45.437569   27.977551   0.447775   0.719048   0.402155
152     9114.164063  100.966904   0.588712   49.969662   0.515340   0.283302   39.610714   26.764498   0.485280   0.696074   0.431278
153     7840.999023  93.773788   0.613226   46.336815   0.550522   0.329072   31.377239   26.416842   0.534859   0.670355   0.451640
154     9292.683594  103.730331   0.580007   50.360367   0.510842   0.388480   19.169569   26.718746   0.618776   0.699377   0.420969
155     5875.639160  81.986320   0.654104   40.059357   0.611086   0.422045   17.892328   22.637608   0.638538   0.623630   0.487494
156     8763.472656  99.089233   0.596546   48.991005   0.524796   0.299353   37.553730   27.633453   0.498909   0.689265   0.441810
157     9098.089844  104.176460   0.585032   49.841389   0.515339   0.412462   14.225991   22.973190   0.655472   0.695921   0.420919
158     17013.492188  144.464325   0.399262   68.253021   0.335655   0.153366   45.673569   27.608055   0.390254   0.814291   0.289858
159     16245.935547  142.054504   0.482595   66.758675   0.349930   0.328973   19.111666   23.041080   0.607396   0.805221   0.339315
160     9276.412109  104.285385   0.587164   50.311897   0.511077   0.402915   19.626743   27.481388   0.620051   0.699140   0.420948
161     8988.221680  101.837341   0.578934   49.532280   0.518952   0.349551   23.353098   27.524822   0.578951   0.693566   0.428095
162     26821.187500  179.167664   0.352684   85.586014   0.167655   0.059845   140.757202   34.280975   0.098304   0.911942   0.181366
163     8553.603516  101.713547   0.595337   48.354412   0.529567   0.416930   14.758133   22.945066   0.655527   0.685448   0.435559
164     14704.776367  134.191772   0.505803   63.446121   0.382479   0.342270   24.244318   27.865900   0.588692   0.785104   0.357774
165     6916.269531  89.227066   0.637993   43.452553   0.578037   0.383550   26.492657   27.589682   0.577627   0.649582   0.474385
166     5678.797363  81.410095   0.659942   39.364868   0.617525   0.434423   16.902708   22.531483   0.648257   0.618392   0.510584
167     6680.358398  88.247963   0.644034   42.695580   0.585181   0.442641   19.068939   26.476036   0.636157   0.644015   0.472866
168     8640.033203  98.592262   0.598489   48.627281   0.528238   0.308386   35.163345   27.946043   0.508963   0.686794   0.439872
169     7717.436523  95.774521   0.611709   45.899406   0.553729   0.428664   14.570175   22.761435   0.661571   0.667829   0.449303
170     9814.957031  107.142517   0.573940   51.751503   0.497133   0.389128   20.364092   27.142750   0.616864   0.709056   0.418633
171     12338.888672  120.772346   0.492114   58.030632   0.435893   0.196222   47.412697   22.239113   0.427517   0.750899   0.343359
172     20988.367188  161.809982   0.435225   75.907219   0.260742   0.289987   21.340759   23.056095   0.579028   0.858576   0.302665
173     12888.791016  124.204559   0.521118   59.329494   0.423005   0.346510   20.449255   26.797562   0.600608   0.759278   0.372996
174     6922.795410  88.505150   0.625900   43.508904   0.577790   0.352124   25.778372   22.880987   0.575678   0.649754   0.472440
